Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Julia Araújo,Esportes,3219.93,4606.8,0.42,0.26,2021-07-13
Lucas Rodrigues,Esportes,1355.1,2456.6,0.4,0.27,2021-07-13
Thiago Carvalho,Esportes,3720.36,1948.39,0.34,0.36,2021-07-13
Mateus Barbosa,Eletrônicos,3732.56,2884.35,0.11,0.21,2021-07-13
Camila Carvalho,Casa,3021.14,5881.62,0.36,0.33,2021-07-13
Diego Cardoso,Vestuário,1481.47,2186.21,0.17,0.15,2021-07-13
Jorge Santos,Brinquedo,1209.46,1467.88,0.24,0.27,2021-07-13
Raphael Silva,Papelaria,311.49,259.55,0.23,0.5,2021-07-13
Caroline Reis,Papelaria,839.82,710.31,0.49,0.36,2021-07-13
Letícia Nascimento,Eletrônicos,3971.6,4469.74,0.14,0.21,2021-07-14
Ana Sousa,Eletrônicos,591.51,1612.05,0.24,0.16,2021-07-14
Gustavo Martins,Eletrônicos,2628.35,4762.15,0.18,0.22,2021-07-14
Beatriz Santos,Vestuário,4251.55,2477.84,0.1,0.17,2021-07-14
Camila Lima,Vestuário,3945.9,4023.6,0.14,0.16,2021-07-14
Thiago Barbosa,Acessórios,824.25,1225.51,0.4,0.6,2021-07-14
Letícia Ribeiro,Acessórios,2024.92,679.82,0.68,0.54,2021-07-14
Enzo Nascimento,Casa,186.87,4231.1,0.17,0.25,2021-07-14
Guilherme Santos,Casa,5581.43,2957.18,0.33,0.23,2021-07-14
Vitória Ribeiro,Brinquedo,5044.8,3858.72,0.25,0.24,2021-07-14
Julia Araújo,Esportes,3220.16,3732.9,0.2,0.27,2021-07-14
Lucas Rodrigues,Esportes,6322.61,5920.38,0.4,0.3,2021-07-14
Thiago Carvalho,Esportes,3580.76,4955.31,0.23,0.26,2021-07-14
Mateus Barbosa,Eletrônicos,3215.7,2493.43,0.17,0.21,2021-07-14
Camila Carvalho,Casa,6811.02,2880.27,0.43,0.23,2021-07-14
Diego Cardoso,Vestuário,731.23,2871.1,0.22,0.15,2021-07-14
Jorge Santos,Brinquedo,1447.26,3884.38,0.25,0.24,2021-07-14
Raphael Silva,Papelaria,904.95,413.19,0.43,0.47,2021-07-14
Caroline Reis,Papelaria,143.15,521.58,0.61,0.5,2021-07-14
Letícia Nascimento,Eletrônicos,3747.86,3477.13,0.22,0.23,2021-07-15
Ana Sousa,Eletrônicos,2038.71,3837.53,0.16,0.22,2021-07-15
Gustavo Martins,Eletrônicos,5392.16,3070.06,0.3,0.23,2021-07-15
Beatriz Santos,Vestuário,2757.66,3409.93,0.22,0.17,2021-07-15
Camila Lima,Vestuário,2078.24,3147.72,0.17,0.15,2021-07-15
Thiago Barbosa,Acessórios,1238.91,1621.42,0.72,0.42,2021-07-15
Letícia Ribeiro,Acessórios,694.13,1577.68,0.48,0.56,2021-07-15
Enzo Nascimento,Casa,4727.92,3283.16,0.35,0.28,2021-07-15
Guilherme Santos,Casa,7506.38,2372.05,0.41,0.25,2021-07-15
Vitória Ribeiro,Brinquedo,5673.17,3546.71,0.31,0.28,2021-07-15
Julia Araújo,Esportes,4591.7,4138.88,0.26,0.3,2021-07-15
Lucas Rodrigues,Esportes,7274.66,1829.27,0.22,0.27,2021-07-15
Thiago Carvalho,Esportes,2040.8,3264.93,0.34,0.39,2021-07-15
Mateus Barbosa,Eletrônicos,1923.76,1934.99,0.3,0.21,2021-07-15
Camila Carvalho,Casa,4261.02,4741.05,0.31,0.29,2021-07-15
Diego Cardoso,Vestuário,691.98,1801.3,0.13,0.14,2021-07-15
Jorge Santos,Brinquedo,5351.19,2044.39,0.31,0.21,2021-07-15
Raphael Silva,Papelaria,490.41,708.78,0.72,0.4,2021-07-15
Caroline Reis,Papelaria,650.22,425.41,0.18,0.41,2021-07-15
Letícia Nascimento,Eletrônicos,6588.91,1540.05,0.27,0.23,2021-07-16
Ana Sousa,Eletrônicos,6175.75,4559.85,0.3,0.18,2021-07-16
Gustavo Martins,Eletrônicos,4969.3,3746.58,0.22,0.18,2021-07-16
Beatriz Santos,Vestuário,2458.73,3577.52,0.13,0.2,2021-07-16
Camila Lima,Vestuário,2103.57,1518.16,0.14,0.19,2021-07-16
Thiago Barbosa,Acessórios,993.84,1634.36,0.78,0.54,2021-07-16
Letícia Ribeiro,Acessórios,1737.85,1582.19,0.76,0.52,2021-07-16
Enzo Nascimento,Casa,829.59,3202.06,0.13,0.25,2021-07-16
Guilherme Santos,Casa,6659.28,6121.48,0.14,0.32,2021-07-16
Vitória Ribeiro,Brinquedo,2857.37,1426.87,0.25,0.26,2021-07-16
Julia Araújo,Esportes,3867.56,1665.0,0.14,0.3,2021-07-16
Lucas Rodrigues,Esportes,1254.76,2056.66,0.18,0.31,2021-07-16
Thiago Carvalho,Esportes,5769.99,3691.17,0.33,0.36,2021-07-16
Mateus Barbosa,Eletrônicos,2220.81,2002.15,0.18,0.23,2021-07-16
Camila Carvalho,Casa,5597.73,2991.96,0.24,0.22,2021-07-16
Diego Cardoso,Vestuário,450.01,3925.97,0.18,0.17,2021-07-16
Jorge Santos,Brinquedo,2490.42,1239.73,0.24,0.2,2021-07-16
Raphael Silva,Papelaria,479.09,621.93,0.54,0.49,2021-07-16
Caroline Reis,Papelaria,1127.06,536.42,0.72,0.45,2021-07-16
Letícia Nascimento,Eletrônicos,5762.23,2865.86,0.13,0.18,2021-07-17
Ana Sousa,Eletrônicos,6368.38,1731.94,0.25,0.2,2021-07-17
Gustavo Martins,Eletrônicos,1468.24,3615.05,0.2,0.16,2021-07-17
Beatriz Santos,Vestuário,975.48,1815.88,0.26,0.17,2021-07-17
Camila Lima,Vestuário,5036.51,2162.44,0.27,0.21,2021-07-17
Thiago Barbosa,Acessórios,2195.27,1079.64,0.34,0.48,2021-07-17
Letícia Ribeiro,Acessórios,1074.47,1596.93,0.34,0.46,2021-07-17
Enzo Nascimento,Casa,892.82,2364.25,0.44,0.3,2021-07-17
Guilherme Santos,Casa,6495.81,2750.57,0.13,0.26,2021-07-17
Vitória Ribeiro,Brinquedo,396.14,4408.42,0.28,0.21,2021-07-17
Julia Araújo,Esportes,1948.67,2630.99,0.51,0.27,2021-07-17
Lucas Rodrigues,Esportes,5452.36,5634.63,0.4,0.31,2021-07-17
Thiago Carvalho,Esportes,572.88,4631.33,0.21,0.36,2021-07-17
Mateus Barbosa,Eletrônicos,1861.75,2056.19,0.11,0.22,2021-07-17
Camila Carvalho,Casa,7643.99,5293.28,0.32,0.32,2021-07-17
Diego Cardoso,Vestuário,3499.26,3099.48,0.26,0.2,2021-07-17
Jorge Santos,Brinquedo,5233.1,2373.06,0.21,0.22,2021-07-17
Raphael Silva,Papelaria,563.94,660.3,0.34,0.49,2021-07-17
Caroline Reis,Papelaria,1081.54,642.47,0.49,0.36,2021-07-17
Letícia Nascimento,Eletrônicos,5450.26,3571.15,0.12,0.17,2021-07-18
Ana Sousa,Eletrônicos,5517.24,1436.79,0.21,0.23,2021-07-18
Gustavo Martins,Eletrônicos,2084.27,2933.82,0.16,0.21,2021-07-18
Beatriz Santos,Vestuário,114.8,2306.2,0.23,0.17,2021-07-18
Camila Lima,Vestuário,3862.83,1494.66,0.19,0.15,2021-07-18
Thiago Barbosa,Acessórios,519.38,1751.31,0.5,0.56,2021-07-18
Letícia Ribeiro,Acessórios,1500.93,1020.78,0.72,0.42,2021-07-18
Enzo Nascimento,Casa,1628.08,2242.86,0.12,0.26,2021-07-18
Guilherme Santos,Casa,5791.79,2848.2,0.26,0.3,2021-07-18
Vitória Ribeiro,Brinquedo,1563.25,3496.61,0.36,0.3,2021-07-18
Julia Araújo,Esportes,1359.91,5404.53,0.42,0.33,2021-07-18
Lucas Rodrigues,Esportes,6888.54,1611.8,0.33,0.34,2021-07-18
Thiago Carvalho,Esportes,6437.85,3278.76,0.27,0.31,2021-07-18
Mateus Barbosa,Eletrônicos,385.47,4213.98,0.31,0.23,2021-07-18
Camila Carvalho,Casa,2050.56,4463.4,0.36,0.25,2021-07-18
Diego Cardoso,Vestuário,2614.84,3706.49,0.15,0.17,2021-07-18
Jorge Santos,Brinquedo,1473.97,1309.65,0.14,0.28,2021-07-18
Raphael Silva,Papelaria,236.08,540.08,0.56,0.41,2021-07-18
Caroline Reis,Papelaria,251.7,423.46,0.25,0.41,2021-07-18
Letícia Nascimento,Eletrônicos,5282.52,3039.41,0.22,0.22,2021-07-19
Ana Sousa,Eletrônicos,4485.73,3783.34,0.2,0.18,2021-07-19
Gustavo Martins,Eletrônicos,3928.09,4413.25,0.13,0.21,2021-07-19
Beatriz Santos,Vestuário,1474.19,4108.62,0.2,0.16,2021-07-19
Camila Lima,Vestuário,2458.59,2834.61,0.25,0.17,2021-07-19
Thiago Barbosa,Acessórios,258.38,1694.75,0.78,0.58,2021-07-19
Letícia Ribeiro,Acessórios,1428.02,1628.07,0.28,0.54,2021-07-19
Enzo Nascimento,Casa,8055.54,6237.69,0.31,0.25,2021-07-19
Guilherme Santos,Casa,2971.4,5658.91,0.28,0.33,2021-07-19
Vitória Ribeiro,Brinquedo,2145.2,3520.38,0.31,0.2,2021-07-19
Julia Araújo,Esportes,1990.62,5752.22,0.25,0.29,2021-07-19
Lucas Rodrigues,Esportes,5962.69,4361.53,0.2,0.38,2021-07-19
Thiago Carvalho,Esportes,5161.34,3985.19,0.33,0.35,2021-07-19
Mateus Barbosa,Eletrônicos,6779.91,4013.79,0.14,0.23,2021-07-19
Camila Carvalho,Casa,4407.25,4974.42,0.2,0.28,2021-07-19
Diego Cardoso,Vestuário,1107.45,2694.89,0.1,0.16,2021-07-19
Jorge Santos,Brinquedo,1072.53,4515.59,0.32,0.2,2021-07-19
Raphael Silva,Papelaria,387.56,563.56,0.63,0.52,2021-07-19
Caroline Reis,Papelaria,634.78,303.17,0.27,0.4,2021-07-19
Letícia Nascimento,Eletrônicos,2639.1,1959.38,0.19,0.18,2021-07-20
Ana Sousa,Eletrônicos,839.39,3760.27,0.16,0.19,2021-07-20
Gustavo Martins,Eletrônicos,636.07,4340.75,0.26,0.18,2021-07-20
Beatriz Santos,Vestuário,725.2,3535.13,0.13,0.14,2021-07-20
Camila Lima,Vestuário,2677.9,1537.52,0.17,0.16,2021-07-20
Thiago Barbosa,Acessórios,1699.37,1545.87,0.36,0.58,2021-07-20
Letícia Ribeiro,Acessórios,1270.57,1519.66,0.66,0.4,2021-07-20
Enzo Nascimento,Casa,2588.29,1817.71,0.26,0.28,2021-07-20
Guilherme Santos,Casa,4177.77,4478.96,0.3,0.25,2021-07-20
Vitória Ribeiro,Brinquedo,3718.06,2520.41,0.32,0.25,2021-07-20
Julia Araújo,Esportes,3590.99,5030.59,0.31,0.34,2021-07-20
Lucas Rodrigues,Esportes,3050.46,5347.67,0.22,0.27,2021-07-20
Thiago Carvalho,Esportes,3135.61,4668.84,0.25,0.29,2021-07-20
Mateus Barbosa,Eletrônicos,3442.92,4740.98,0.22,0.19,2021-07-20
Camila Carvalho,Casa,1033.51,4736.22,0.28,0.3,2021-07-20
Diego Cardoso,Vestuário,3922.66,1682.57,0.14,0.16,2021-07-20
Jorge Santos,Brinquedo,858.7,3539.38,0.15,0.28,2021-07-20
Raphael Silva,Papelaria,768.26,775.91,0.56,0.38,2021-07-20
Caroline Reis,Papelaria,156.39,654.43,0.34,0.41,2021-07-20
Letícia Nascimento,Eletrônicos,2421.13,3871.11,0.14,0.21,2021-07-21
Ana Sousa,Eletrônicos,5354.04,3074.97,0.2,0.23,2021-07-21
Gustavo Martins,Eletrônicos,6746.73,1656.63,0.14,0.17,2021-07-21
Beatriz Santos,Vestuário,1401.79,1213.77,0.2,0.15,2021-07-21
Camila Lima,Vestuário,4428.33,2314.01,0.25,0.17,2021-07-21
Thiago Barbosa,Acessórios,1545.51,1217.56,0.7,0.56,2021-07-21
Letícia Ribeiro,Acessórios,876.72,607.33,0.46,0.5,2021-07-21
Enzo Nascimento,Casa,2787.06,6139.46,0.39,0.26,2021-07-21
Guilherme Santos,Casa,2696.98,5344.22,0.2,0.24,2021-07-21
Vitória Ribeiro,Brinquedo,4450.6,3897.87,0.23,0.21,2021-07-21
Julia Araújo,Esportes,5681.83,5280.91,0.18,0.36,2021-07-21
Lucas Rodrigues,Esportes,1395.25,4421.55,0.27,0.31,2021-07-21
Thiago Carvalho,Esportes,1767.65,3099.45,0.51,0.3,2021-07-21
Mateus Barbosa,Eletrônicos,1311.43,2243.27,0.14,0.22,2021-07-21
Camila Carvalho,Casa,4837.65,1658.94,0.39,0.26,2021-07-21
Diego Cardoso,Vestuário,2291.63,3408.4,0.19,0.17,2021-07-21
Jorge Santos,Brinquedo,2418.22,3131.9,0.34,0.26,2021-07-21
Raphael Silva,Papelaria,756.39,783.33,0.58,0.4,2021-07-21
Caroline Reis,Papelaria,161.29,844.41,0.38,0.4,2021-07-21
Letícia Nascimento,Eletrônicos,2535.55,5315.57,0.26,0.22,2021-07-22
Ana Sousa,Eletrônicos,6557.13,2396.04,0.16,0.18,2021-07-22
Gustavo Martins,Eletrônicos,5428.38,1696.08,0.13,0.16,2021-07-22
Beatriz Santos,Vestuário,4740.41,2708.48,0.15,0.15,2021-07-22
Camila Lima,Vestuário,3039.85,1423.57,0.23,0.16,2021-07-22
Thiago Barbosa,Acessórios,1556.6,1755.35,0.6,0.52,2021-07-22
Letícia Ribeiro,Acessórios,1800.56,1059.13,0.66,0.56,2021-07-22
Enzo Nascimento,Casa,1150.07,2242.42,0.37,0.3,2021-07-22
Guilherme Santos,Casa,545.47,3533.84,0.25,0.24,2021-07-22
Vitória Ribeiro,Brinquedo,1325.23,1217.92,0.18,0.26,2021-07-22
Julia Araújo,Esportes,2320.19,5885.55,0.34,0.33,2021-07-22
Lucas Rodrigues,Esportes,6692.32,3711.62,0.23,0.35,2021-07-22
Thiago Carvalho,Esportes,6928.32,5580.07,0.13,0.31,2021-07-22
Mateus Barbosa,Eletrônicos,1665.58,4463.69,0.18,0.22,2021-07-22
Camila Carvalho,Casa,4494.01,2799.84,0.36,0.32,2021-07-22
Diego Cardoso,Vestuário,2979.21,2131.33,0.14,0.17,2021-07-22
Jorge Santos,Brinquedo,1840.01,3318.46,0.23,0.21,2021-07-22
Raphael Silva,Papelaria,788.6,801.98,0.41,0.41,2021-07-22
Caroline Reis,Papelaria,546.91,690.18,0.65,0.52,2021-07-22
Letícia Nascimento,Eletrônicos,2104.01,4529.09,0.21,0.18,2021-07-23
Ana Sousa,Eletrônicos,2051.88,2678.47,0.29,0.21,2021-07-23
Gustavo Martins,Eletrônicos,4760.73,2831.19,0.18,0.19,2021-07-23
Beatriz Santos,Vestuário,2031.44,2419.85,0.17,0.21,2021-07-23
Camila Lima,Vestuário,4578.88,3434.5,0.15,0.17,2021-07-23
Thiago Barbosa,Acessórios,1026.69,1725.26,0.4,0.54,2021-07-23
Letícia Ribeiro,Acessórios,283.33,565.61,0.7,0.54,2021-07-23
Enzo Nascimento,Casa,1129.18,2366.31,0.21,0.31,2021-07-23
Guilherme Santos,Casa,6241.47,6153.0,0.37,0.29,2021-07-23
Vitória Ribeiro,Brinquedo,1487.04,4451.32,0.11,0.23,2021-07-23
Julia Araújo,Esportes,2168.37,5042.52,0.43,0.34,2021-07-23
Lucas Rodrigues,Esportes,5876.61,2794.75,0.33,0.38,2021-07-23
Thiago Carvalho,Esportes,3289.68,4195.72,0.3,0.35,2021-07-23
Mateus Barbosa,Eletrônicos,6527.33,4918.76,0.12,0.16,2021-07-23
Camila Carvalho,Casa,2965.56,6355.46,0.29,0.29,2021-07-23
Diego Cardoso,Vestuário,724.2,1822.89,0.08,0.21,2021-07-23
Jorge Santos,Brinquedo,563.94,3770.7,0.27,0.21,2021-07-23
Raphael Silva,Papelaria,222.86,716.36,0.59,0.45,2021-07-23
Caroline Reis,Papelaria,129.12,912.18,0.25,0.49,2021-07-23
Letícia Nascimento,Eletrônicos,1984.42,4842.34,0.13,0.18,2021-07-24
Ana Sousa,Eletrônicos,2934.38,4993.7,0.22,0.22,2021-07-24
Gustavo Martins,Eletrônicos,1867.47,3200.85,0.17,0.23,2021-07-24
Beatriz Santos,Vestuário,543.55,3815.09,0.22,0.2,2021-07-24
Camila Lima,Vestuário,270.78,1124.48,0.27,0.19,2021-07-24
Thiago Barbosa,Acessórios,1670.66,1828.08,0.5,0.54,2021-07-24
Letícia Ribeiro,Acessórios,1221.8,1710.95,0.48,0.52,2021-07-24
Enzo Nascimento,Casa,3415.77,5776.82,0.31,0.29,2021-07-24
Guilherme Santos,Casa,3195.5,5866.23,0.29,0.29,2021-07-24
Vitória Ribeiro,Brinquedo,4931.04,3911.36,0.34,0.27,2021-07-24
Julia Araújo,Esportes,5399.75,5654.91,0.26,0.3,2021-07-24
Lucas Rodrigues,Esportes,2944.26,4659.77,0.43,0.29,2021-07-24
Thiago Carvalho,Esportes,5721.9,5954.9,0.34,0.35,2021-07-24
Mateus Barbosa,Eletrônicos,5658.0,3552.81,0.19,0.22,2021-07-24
Camila Carvalho,Casa,404.22,4362.1,0.42,0.28,2021-07-24
Diego Cardoso,Vestuário,3749.42,3263.15,0.2,0.15,2021-07-24
Jorge Santos,Brinquedo,5426.56,3827.05,0.33,0.24,2021-07-24
Raphael Silva,Papelaria,554.15,434.71,0.45,0.4,2021-07-24
Caroline Reis,Papelaria,292.4,494.29,0.47,0.49,2021-07-24
Letícia Nascimento,Eletrônicos,3552.42,1416.72,0.09,0.17,2021-07-25
Ana Sousa,Eletrônicos,4851.03,2130.37,0.19,0.17,2021-07-25
Gustavo Martins,Eletrônicos,893.42,3714.42,0.1,0.2,2021-07-25
Beatriz Santos,Vestuário,987.44,3438.85,0.19,0.16,2021-07-25
Camila Lima,Vestuário,4766.15,1530.19,0.22,0.15,2021-07-25
Thiago Barbosa,Acessórios,542.28,1671.94,0.54,0.42,2021-07-25
Letícia Ribeiro,Acessórios,1150.74,1837.21,0.32,0.48,2021-07-25
Enzo Nascimento,Casa,5909.59,4737.97,0.31,0.25,2021-07-25
Guilherme Santos,Casa,1383.34,2293.85,0.14,0.33,2021-07-25
Vitória Ribeiro,Brinquedo,4349.22,2711.3,0.29,0.22,2021-07-25
Julia Araújo,Esportes,274.37,3303.34,0.14,0.39,2021-07-25
Lucas Rodrigues,Esportes,369.55,1761.07,0.27,0.35,2021-07-25
Thiago Carvalho,Esportes,4369.39,3468.06,0.14,0.33,2021-07-25
Mateus Barbosa,Eletrônicos,3712.36,2905.22,0.26,0.18,2021-07-25
Camila Carvalho,Casa,1690.85,2907.02,0.34,0.33,2021-07-25
Diego Cardoso,Vestuário,2424.39,2550.24,0.08,0.19,2021-07-25
Jorge Santos,Brinquedo,3302.1,3680.33,0.1,0.27,2021-07-25
Raphael Silva,Papelaria,269.49,517.2,0.49,0.49,2021-07-25
Caroline Reis,Papelaria,659.14,237.72,0.56,0.52,2021-07-25
Letícia Nascimento,Eletrônicos,4230.88,4613.59,0.14,0.18,2021-07-26
Ana Sousa,Eletrônicos,3331.23,2440.94,0.15,0.22,2021-07-26
Gustavo Martins,Eletrônicos,189.96,4927.86,0.14,0.19,2021-07-26
Beatriz Santos,Vestuário,2355.68,1743.8,0.11,0.17,2021-07-26
Camila Lima,Vestuário,3935.52,3942.4,0.13,0.2,2021-07-26
Thiago Barbosa,Acessórios,450.14,1731.56,0.32,0.42,2021-07-26
Letícia Ribeiro,Acessórios,610.55,1027.1,0.52,0.46,2021-07-26
Enzo Nascimento,Casa,524.89,4170.0,0.12,0.24,2021-07-26
Guilherme Santos,Casa,2177.56,3038.12,0.32,0.26,2021-07-26
Vitória Ribeiro,Brinquedo,5707.67,4483.59,0.2,0.27,2021-07-26
Julia Araújo,Esportes,6218.35,3433.48,0.16,0.31,2021-07-26
Lucas Rodrigues,Esportes,3958.69,5823.86,0.49,0.35,2021-07-26
Thiago Carvalho,Esportes,7190.68,3330.56,0.47,0.35,2021-07-26
Mateus Barbosa,Eletrônicos,1899.68,2880.72,0.27,0.23,2021-07-26
Camila Carvalho,Casa,6848.7,6263.43,0.19,0.32,2021-07-26
Diego Cardoso,Vestuário,1823.26,3149.62,0.1,0.18,2021-07-26
Jorge Santos,Brinquedo,5592.34,2481.22,0.25,0.29,2021-07-26
Raphael Silva,Papelaria,1085.43,683.48,0.4,0.45,2021-07-26
Caroline Reis,Papelaria,736.62,243.86,0.4,0.49,2021-07-26
Letícia Nascimento,Eletrônicos,5287.8,2411.33,0.24,0.17,2021-07-27
Ana Sousa,Eletrônicos,2619.97,3967.9,0.09,0.19,2021-07-27
Gustavo Martins,Eletrônicos,1114.26,3678.06,0.1,0.24,2021-07-27
Beatriz Santos,Vestuário,5143.15,4001.15,0.18,0.15,2021-07-27
Camila Lima,Vestuário,2617.28,2509.5,0.12,0.15,2021-07-27
Thiago Barbosa,Acessórios,2274.0,1062.27,0.34,0.56,2021-07-27
Letícia Ribeiro,Acessórios,1961.99,875.88,0.68,0.42,2021-07-27
Enzo Nascimento,Casa,4481.07,1670.47,0.12,0.28,2021-07-27
Guilherme Santos,Casa,1359.4,4460.5,0.34,0.24,2021-07-27
Vitória Ribeiro,Brinquedo,2155.42,2469.26,0.16,0.28,2021-07-27
Julia Araújo,Esportes,3837.04,2206.72,0.26,0.27,2021-07-27
Lucas Rodrigues,Esportes,3922.08,3936.59,0.22,0.34,2021-07-27
Thiago Carvalho,Esportes,7341.34,4879.92,0.22,0.33,2021-07-27
Mateus Barbosa,Eletrônicos,5252.54,1843.32,0.18,0.18,2021-07-27
Camila Carvalho,Casa,3856.6,6330.42,0.19,0.28,2021-07-27
Diego Cardoso,Vestuário,5003.4,4062.38,0.23,0.15,2021-07-27
Jorge Santos,Brinquedo,3625.31,2011.64,0.3,0.27,2021-07-27
Raphael Silva,Papelaria,998.0,419.58,0.61,0.52,2021-07-27
Caroline Reis,Papelaria,360.12,348.44,0.27,0.47,2021-07-27
Letícia Nascimento,Eletrônicos,3802.71,2116.93,0.1,0.22,2021-07-28
Ana Sousa,Eletrônicos,1559.36,4205.09,0.21,0.22,2021-07-28
Gustavo Martins,Eletrônicos,259.45,5502.68,0.09,0.19,2021-07-28
Beatriz Santos,Vestuário,1931.18,3992.97,0.22,0.16,2021-07-28
Camila Lima,Vestuário,1325.77,3599.2,0.08,0.2,2021-07-28
Thiago Barbosa,Acessórios,365.99,785.28,0.6,0.5,2021-07-28
Letícia Ribeiro,Acessórios,487.79,1807.64,0.34,0.4,2021-07-28
Enzo Nascimento,Casa,7925.86,2451.63,0.23,0.31,2021-07-28
Guilherme Santos,Casa,6002.91,5876.69,0.28,0.3,2021-07-28
Vitória Ribeiro,Brinquedo,1844.83,4191.58,0.4,0.23,2021-07-28
Julia Araújo,Esportes,6667.53,2444.04,0.21,0.29,2021-07-28
Lucas Rodrigues,Esportes,1546.56,2832.1,0.26,0.29,2021-07-28
Thiago Carvalho,Esportes,6350.53,2703.38,0.36,0.31,2021-07-28
Mateus Barbosa,Eletrônicos,4418.0,3652.64,0.23,0.22,2021-07-28
Camila Carvalho,Casa,4343.7,3454.13,0.34,0.3,2021-07-28
Diego Cardoso,Vestuário,2487.41,3948.11,0.14,0.18,2021-07-28
Jorge Santos,Brinquedo,3618.04,4479.72,0.19,0.22,2021-07-28
Raphael Silva,Papelaria,454.9,659.9,0.32,0.38,2021-07-28
Caroline Reis,Papelaria,1070.67,334.85,0.22,0.49,2021-07-28
Letícia Nascimento,Eletrônicos,1587.83,3976.57,0.3,0.21,2021-07-29
Ana Sousa,Eletrônicos,3123.79,3482.21,0.3,0.16,2021-07-29
Gustavo Martins,Eletrônicos,3339.37,5380.14,0.09,0.17,2021-07-29
Beatriz Santos,Vestuário,3816.98,1792.19,0.1,0.18,2021-07-29
Camila Lima,Vestuário,5049.67,3571.42,0.25,0.15,2021-07-29
Thiago Barbosa,Acessórios,282.14,506.98,0.42,0.48,2021-07-29
Letícia Ribeiro,Acessórios,1735.98,1030.72,0.2,0.54,2021-07-29
Enzo Nascimento,Casa,6053.96,3870.63,0.42,0.28,2021-07-29
Guilherme Santos,Casa,2450.81,6366.79,0.33,0.23,2021-07-29
Vitória Ribeiro,Brinquedo,1018.87,1179.83,0.37,0.21,2021-07-29
Julia Araújo,Esportes,530.3,3509.95,0.21,0.33,2021-07-29
Lucas Rodrigues,Esportes,1584.27,5250.13,0.33,0.35,2021-07-29
Thiago Carvalho,Esportes,1487.06,2077.36,0.23,0.29,2021-07-29
Mateus Barbosa,Eletrônicos,2333.77,2398.4,0.18,0.19,2021-07-29
Camila Carvalho,Casa,3569.2,2438.72,0.41,0.32,2021-07-29
Diego Cardoso,Vestuário,2236.12,3702.89,0.24,0.19,2021-07-29
Jorge Santos,Brinquedo,2392.81,3365.42,0.39,0.22,2021-07-29
Raphael Silva,Papelaria,548.56,458.13,0.27,0.52,2021-07-29
Caroline Reis,Papelaria,322.35,326.3,0.32,0.49,2021-07-29
Letícia Nascimento,Eletrônicos,4330.18,2363.61,0.14,0.21,2021-07-30
Ana Sousa,Eletrônicos,3457.29,3525.93,0.29,0.2,2021-07-30
Gustavo Martins,Eletrônicos,427.14,3635.75,0.28,0.19,2021-07-30
Beatriz Santos,Vestuário,1140.27,3820.52,0.17,0.18,2021-07-30
Camila Lima,Vestuário,399.19,1971.26,0.17,0.2,2021-07-30
Thiago Barbosa,Acessórios,1222.41,517.34,0.44,0.54,2021-07-30
Letícia Ribeiro,Acessórios,588.11,1109.79,0.38,0.48,2021-07-30
Enzo Nascimento,Casa,5254.66,1627.05,0.36,0.29,2021-07-30
Guilherme Santos,Casa,294.44,4295.91,0.28,0.32,2021-07-30
Vitória Ribeiro,Brinquedo,3554.73,2058.5,0.12,0.26,2021-07-30
Julia Araújo,Esportes,822.64,3248.93,0.4,0.3,2021-07-30
Lucas Rodrigues,Esportes,5614.56,2527.46,0.33,0.34,2021-07-30
Thiago Carvalho,Esportes,2055.36,5014.99,0.16,0.39,2021-07-30
Mateus Barbosa,Eletrônicos,1520.25,3208.28,0.09,0.24,2021-07-30
Camila Carvalho,Casa,5457.65,5351.29,0.44,0.23,2021-07-30
Diego Cardoso,Vestuário,2598.99,2687.98,0.13,0.2,2021-07-30
Jorge Santos,Brinquedo,1652.64,1490.35,0.14,0.21,2021-07-30
Raphael Silva,Papelaria,726.89,833.91,0.22,0.47,2021-07-30
Caroline Reis,Papelaria,250.07,628.94,0.72,0.4,2021-07-30
Letícia Nascimento,Eletrônicos,4903.55,2581.92,0.28,0.2,2021-07-31
Ana Sousa,Eletrônicos,1607.56,1388.54,0.26,0.18,2021-07-31
Gustavo Martins,Eletrônicos,3335.91,2120.12,0.23,0.18,2021-07-31
Beatriz Santos,Vestuário,562.0,1188.77,0.24,0.17,2021-07-31
Camila Lima,Vestuário,3646.1,2189.58,0.24,0.16,2021-07-31
Thiago Barbosa,Acessórios,1222.59,1011.3,0.56,0.48,2021-07-31
Letícia Ribeiro,Acessórios,1577.57,750.89,0.78,0.52,2021-07-31
Enzo Nascimento,Casa,5839.99,3261.23,0.14,0.3,2021-07-31
Guilherme Santos,Casa,830.51,2046.76,0.25,0.33,2021-07-31
Vitória Ribeiro,Brinquedo,4363.42,1791.56,0.29,0.22,2021-07-31
Julia Araújo,Esportes,2733.37,2948.36,0.45,0.38,2021-07-31
Lucas Rodrigues,Esportes,6442.88,3920.31,0.16,0.29,2021-07-31
Thiago Carvalho,Esportes,6440.44,4315.35,0.48,0.34,2021-07-31
Mateus Barbosa,Eletrônicos,2708.26,4931.71,0.29,0.21,2021-07-31
Camila Carvalho,Casa,1657.81,5049.72,0.19,0.29,2021-07-31
Diego Cardoso,Vestuário,3034.73,2923.12,0.2,0.15,2021-07-31
Jorge Santos,Brinquedo,4412.72,1952.62,0.16,0.25,2021-07-31
